Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of mitotic spindle checkpoint (GO:1903504)	1/6	0.00179884089014784	0.006732804474553345	0	0	799.56	5053.709147518722	CDK5RAP2
negative regulation of centriole replication (GO:0046600)	1/7	0.002098387281973246	0.007635798164958201	0	0	666.2666666666667	4108.590825691207	CDK5RAP2
regulation of cardiac muscle cell action potential involved in regulation of contraction (GO:0098909)	1/8	0.002397858969227747	0.00805434679407269	0	0	571.0571428571428	3445.2899826083253	AKAP9
response to epinephrine (GO:0071871)	1/8	0.002397858969227747	0.00805434679407269	0	0	571.0571428571428	3445.2899826083253	PRKACA
cellular response to epinephrine stimulus (GO:0071872)	1/8	0.002397858969227747	0.00805434679407269	0	0	571.0571428571428	3445.2899826083253	PRKACA
regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	1/10	0.002996578172872153	0.009813793516156301	0	0	444.1111111111111	2580.4117942926405	AKAP9
negative regulation of centrosome duplication (GO:0010826)	1/11	0.0032958256764104633	0.010530564966091968	0	0	399.68	2284.210591570385	CDK5RAP2
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	1/13	0.0038940964853966904	0.011593787263340146	0	0	333.03333333333336	1847.7667100463034	CDK5RAP2
high-density lipoprotein particle assembly (GO:0034380)	1/13	0.0038940964853966904	0.011593787263340146	0	0	333.03333333333336	1847.7667100463034	PRKACA
regulation of membrane repolarization (GO:0060306)	1/13	0.0038940964853966904	0.011593787263340146	0	0	333.03333333333336	1847.7667100463034	AKAP9
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	1/14	0.004193119798694676	0.012206637636200056	0	0	307.4	1682.8029678019434	AKAP9
protein kinase A signaling (GO:0010737)	1/15	0.004492068393214533	0.012792629554589215	0	0	285.42857142857144	1542.8675927558304	PRKACA
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	1/17	0.005089741453570572	0.013890752717036351	0	0	249.725	1318.6799159042428	PRKACA
cell communication by electrical coupling involved in cardiac conduction (GO:0086064)	1/17	0.005089741453570572	0.013890752717036351	0	0	249.725	1318.6799159042428	PRKACA
regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307)	1/18	0.0053884659389882355	0.0143271569578234	0	0	235.0235294117647	1227.644124299904	AKAP9
regulation of nervous system process (GO:0031644)	1/19	0.005687115738983334	0.0143271569578234	0	0	221.95555555555555	1147.4107993095174	AKAP9
regulation of centriole replication (GO:0046599)	1/19	0.005687115738983334	0.0143271569578234	0	0	221.95555555555555	1147.4107993095174	CDK5RAP2
regulation of bicellular tight junction assembly (GO:2000810)	1/19	0.005687115738983334	0.0143271569578234	0	0	221.95555555555555	1147.4107993095174	PRKACA
microtubule nucleation (GO:0007020)	1/20	0.0059856908667451705	0.014794820821577686	0	0	210.26315789473685	1076.2074808846232	AKAP9
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	1/21	0.006284191332539439	0.014967801173866665	0	0	199.74	1012.6254955871668	PRKACA
calcium-mediated signaling using intracellular calcium source (GO:0035584)	1/21	0.006284191332539439	0.014967801173866665	0	0	199.74	1012.6254955871668	PRKACA
regulation of cardiac muscle cell membrane repolarization (GO:0099623)	1/22	0.006582617147928667	0.015202988252943153	0	0	190.21904761904761	955.5316921910462	AKAP9
regulation of intracellular signal transduction (GO:1902531)	2/437	0.006740755468894704	0.015202988252943153	0	0	22.4816091954023	112.39867728269509	PRKAR2B;PRKAR2A
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	1/23	0.006880968324420164	0.015202988252943153	0	0	181.56363636363636	904.0045996114618	PRKACA
establishment of mitotic spindle orientation (GO:0000132)	1/24	0.007179244874171303	0.015202988252943153	0	0	173.66086956521738	857.2874884567655	CDK5RAP2
cellular response to catecholamine stimulus (GO:0071870)	1/24	0.007179244874171303	0.015202988252943153	0	0	173.66086956521738	857.2874884567655	PRKACA
regulation of cardiac muscle cell action potential (GO:0098901)	1/25	0.007477446810139074	0.015202988252943153	0	0	166.41666666666666	814.7533474976135	AKAP9
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	1/25	0.007477446810139074	0.015202988252943153	0	0	166.41666666666666	814.7533474976135	PRKACA
cellular response to hexose stimulus (GO:0071331)	1/25	0.007477446810139074	0.015202988252943153	0	0	166.41666666666666	814.7533474976135	PRKACA
regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314)	1/25	0.007477446810139074	0.015202988252943153	0	0	166.41666666666666	814.7533474976135	PRKACA
regulation of mitotic metaphase/anaphase transition (GO:0030071)	1/26	0.007775574144635047	0.015202988252943153	0	0	159.752	775.8783981291459	CDK5RAP2
positive regulation of ion transmembrane transporter activity (GO:0032414)	1/26	0.007775574144635047	0.015202988252943153	0	0	159.752	775.8783981291459	AKAP9
regulation of potassium ion transmembrane transporter activity (GO:1901016)	1/26	0.007775574144635047	0.015202988252943153	0	0	159.752	775.8783981291459	AKAP9
regulation of cardiac muscle cell contraction (GO:0086004)	1/27	0.00807362689081275	0.015328190184006815	0	0	153.6	740.2218192098322	AKAP9
regulation of cell junction assembly (GO:1901888)	1/27	0.00807362689081275	0.015328190184006815	0	0	153.6	740.2218192098322	PRKACA
establishment of mitotic spindle localization (GO:0040001)	1/29	0.008669508668721345	0.015874611382505326	0	0	142.61428571428573	677.1245223853919	CDK5RAP2
regulation of calcium ion transmembrane transporter activity (GO:1901019)	1/29	0.008669508668721345	0.015874611382505326	0	0	142.61428571428573	677.1245223853919	PRKACA
microtubule polymerization (GO:0046785)	1/30	0.008967337727522093	0.015874611382505326	0	0	137.68965517241378	649.0919521468393	AKAP9
establishment of spindle orientation (GO:0051294)	1/30	0.008967337727522093	0.015874611382505326	0	0	137.68965517241378	649.0919521468393	CDK5RAP2
regulation of striated muscle contraction (GO:0006942)	1/30	0.008967337727522093	0.015874611382505326	0	0	137.68965517241378	649.0919521468393	PRKACA
cellular response to cAMP (GO:0071320)	1/31	0.009265092249714469	0.016183027796167936	0	0	133.09333333333333	623.0766346487915	AKAP9
cellular response to glucose stimulus (GO:0071333)	1/32	0.00956277225126547	0.016483199538365478	0	0	128.79354838709676	598.8742368950442	PRKACA
negative regulation of organelle assembly (GO:1902116)	1/35	0.010455365255350332	0.017559651903216584	0	0	117.41176470588235	535.4727918518732	CDK5RAP2
regulation of ion transmembrane transport (GO:0034765)	1/35	0.010455365255350332	0.017559651903216584	0	0	117.41176470588235	535.4727918518732	AKAP9
cellular response to heat (GO:0034605)	1/36	0.010752747305294047	0.017607623712419	0	0	114.05142857142857	516.9488201244333	PRKACA
regulation of cardiac muscle contraction (GO:0055117)	1/36	0.010752747305294047	0.017607623712419	0	0	114.05142857142857	516.9488201244333	PRKACA
response to cAMP (GO:0051591)	1/38	0.011347288056139465	0.018351786856225554	0	0	107.87567567567568	483.15104128778233	AKAP9
regulation of heart rate by cardiac conduction (GO:0086091)	1/39	0.011644446786079536	0.018602713768005114	0	0	105.03157894736842	467.6978364624713	AKAP9
cellular glucose homeostasis (GO:0001678)	1/43	0.012832337737452553	0.020234297838434112	0	0	95.00952380952381	413.84123997008294	PRKACA
positive regulation of potassium ion transmembrane transport (GO:1901381)	1/44	0.013129124551655722	0.020234297838434112	0	0	92.7953488372093	402.07503337293304	AKAP9
neurogenesis (GO:0022008)	1/44	0.013129124551655722	0.020234297838434112	0	0	92.7953488372093	402.07503337293304	CDK5RAP2
microtubule bundle formation (GO:0001578)	1/45	0.013425837026561787	0.020450984307902258	0	0	90.68181818181819	390.89071422300736	CDK5RAP2
response to glucose (GO:0009749)	1/49	0.014611943812165882	0.02200189240682449	0	0	83.10833333333333	351.20883684468544	PRKACA
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	1/52	0.01550074402730065	0.02307497122245892	0	0	78.2078431372549	325.8817006096059	PRKACA
regulation of proteasomal protein catabolic process (GO:0061136)	1/54	0.016092906355470643	0.02368731160187252	0	0	75.24905660377358	310.73170127161313	PRKACA
regulation of cardiac conduction (GO:1903779)	1/55	0.016388876219180396	0.023854919830140354	0	0	73.85185185185185	303.6162219440683	PRKACA
regulation of mitotic nuclear division (GO:0007088)	1/57	0.01698059341210605	0.02444459051632849	0	0	71.20714285714286	290.2178235808619	CDK5RAP2
regulation of neurotransmitter receptor activity (GO:0099601)	1/58	0.017276340770511572	0.024600006966706698	0	0	69.95438596491228	283.9040901406788	AKAP9
regulation of neuron differentiation (GO:0045664)	1/79	0.023469931862476083	0.03305979649445556	0	0	51.06666666666667	191.60392946538713	CDK5RAP2
regulation of osteoblast differentiation (GO:0045667)	1/83	0.024645967784075077	0.03434704020972165	0	0	48.56585365853658	179.84625102158773	PRKACA
regulation of cation channel activity (GO:2001257)	1/89	0.026407808784163368	0.03641497842868843	0	0	45.24090909090909	164.40978528720606	PRKACA
positive regulation of peptidyl-serine phosphorylation (GO:0033138)	1/93	0.02758089556145968	0.037248425964445546	0	0	43.26521739130435	155.34947127174277	AKAP9
regulation of heart contraction (GO:0008016)	1/93	0.02758089556145968	0.037248425964445546	0	0	43.26521739130435	155.34947127174277	PRKACA
mRNA metabolic process (GO:0016071)	1/95	0.028166997136370598	0.037651802294536206	0	0	42.340425531914896	151.13856507234965	PRKACA
regulation of peptidyl-serine phosphorylation (GO:0033135)	1/98	0.02904559756492306	0.03843407354550425	0	0	41.02474226804124	145.18198263769264	AKAP9
calcium-mediated signaling (GO:0019722)	1/102	0.03021603513748301	0.0395703797923943	0	0	39.392079207920794	137.84795382798865	PRKACA
cellular response to organonitrogen compound (GO:0071417)	1/103	0.030508460755968123	0.0395703797923943	0	0	39.003921568627455	136.11398334704754	AKAP9
modulation of chemical synaptic transmission (GO:0050804)	1/109	0.03226147194032151	0.04143385121747174	0	0	36.82592592592592	126.45586870030158	AKAP9
regulation of macroautophagy (GO:0016241)	1/112	0.03313698656003556	0.04214509941130737	0	0	35.825225225225225	122.06031121746017	PRKACA
cellular response to lectin (GO:1990858)	1/115	0.03401184105762086	0.04243382074807936	0	0	34.87719298245614	117.92141295805094	PRKACA
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	1/115	0.03401184105762086	0.04243382074807936	0	0	34.87719298245614	117.92141295805094	PRKACA
regulation of protein binding (GO:0043393)	1/118	0.034886035829977916	0.04306752027111781	0	0	33.977777777777774	114.01816366271531	PRKACA
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	1/119	0.03517728754969164	0.04306752027111781	0	0	33.68813559322034	112.7661371492705	PRKACA
cellular calcium ion homeostasis (GO:0006874)	1/136	0.04011737243482153	0.048660886934829825	0	0	29.42074074074074	94.61550793242431	PRKACA
regulation of cytosolic calcium ion concentration (GO:0051480)	1/148	0.04359178583983181	0.052128363348792235	0	0	27.002721088435376	84.59646156406902	PRKACA
brain development (GO:0007420)	1/150	0.04416983459325144	0.052128363348792235	0	0	26.63758389261745	83.1016220368009	CDK5RAP2
cellular response to organic cyclic compound (GO:0071407)	1/150	0.04416983459325144	0.052128363348792235	0	0	26.63758389261745	83.1016220368009	AKAP9
peptidyl-serine phosphorylation (GO:0018105)	1/156	0.0459022343700219	0.05368922055779348	0	0	25.598709677419354	78.87580619532028	PRKACA
cellular protein-containing complex assembly (GO:0034622)	1/168	0.04935918526559474	0.057050261831112094	0	0	23.74491017964072	71.43968248690369	PDE4DIP
peptidyl-serine modification (GO:0018209)	1/169	0.04964679273852503	0.057050261831112094	0	0	23.60238095238095	70.87373669150796	PRKACA
RNA processing (GO:0006396)	1/179	0.05251888169807595	0.05982585654302565	0	0	22.265168539325842	65.6061564818719	PRKACA
regulation of autophagy (GO:0010506)	1/231	0.06733741878256441	0.0760448436251374	0	0	17.186086956521738	46.36873625348384	PRKACA
protein-containing complex assembly (GO:0065003)	1/267	0.07748285228282589	0.08633050049638383	0	0	14.833082706766918	37.938555287683975	PDE4DIP
central nervous system development (GO:0007417)	1/268	0.07776335159216254	0.08633050049638383	0	0	14.776779026217229	37.74114992527251	CDK5RAP2
regulation of cell cycle (GO:0051726)	1/296	0.08558852797780564	0.09421930390834067	0	0	13.355254237288136	32.82993970452832	PRKACA
mRNA processing (GO:0006397)	1/300	0.0867018798458083	0.09464955216500738	0	0	13.173913043478262	32.213902309224224	PRKACA
cellular response to oxygen-containing compound (GO:1901701)	1/323	0.09308175492807672	0.10077446194692602	0	0	12.218633540372672	29.010421646300408	AKAP9
positive regulation of protein phosphorylation (GO:0001934)	1/371	0.1062767098039644	0.11411679495343718	0	0	10.607567567567568	23.779080918829024	AKAP9
phosphorylation (GO:0016310)	1/400	0.11417084824131203	0.12159659446838923	0	0	9.822055137844611	21.314441936770365	PRKACA
nervous system development (GO:0007399)	1/447	0.12684136778772007	0.13400176758218812	0	0	8.765919282511211	18.100028322577145	CDK5RAP2
cellular response to cytokine stimulus (GO:0071345)	1/482	0.13617843625530518	0.14271500119555983	0	0	8.113513513513514	16.176635795129393	PRKACA
protein phosphorylation (GO:0006468)	1/496	0.1398898913872559	0.14544107755341687	0	0	7.878383838383838	15.495990460839781	PRKACA
positive regulation of nucleic acid-templated transcription (GO:1903508)	1/511	0.14385169452323945	0.14838245655546747	0	0	7.64078431372549	14.815269969426804	CDK5RAP2
cytokine-mediated signaling pathway (GO:0019221)	1/621	0.17244290587638317	0.1764845364828609	0	0	6.249677419354839	10.984989739295798	PRKACA
cellular protein modification process (GO:0006464)	1/1025	0.2707215025190063	0.2749187351162002	0	0	3.705078125	4.841294620668833	PRKACA
positive regulation of transcription, DNA-templated (GO:0045893)	1/1183	0.3064110647058042	0.30876807289584884	0	0	3.1830795262267344	3.765034729791116	CDK5RAP2
regulation of transcription, DNA-templated (GO:0006355)	1/2244	0.5103900703865368	0.5103900703865368	0	0	1.5827909050378957	1.0645535096211258	CDK5RAP2
